symbol,name,ta_ma,ta_volume,ta_funding,TA_%,Macro_%,RS_%,Total_%,AvgDataAge_h
ETH,Ethereum,1,1,0,97.4,50.0,100.0,88.4,0.0
HYPE,Hyperliquid,1,1,0,97.4,50.0,100.0,88.4,0.0
SOL,Solana,1,1,0,97.4,50.0,100.0,88.4,0.0
DOGE,Dogecoin,1,1,0,97.4,50.0,100.0,88.4,0.0
LINK,Chainlink,1,1,0,97.4,50.0,100.0,88.4,0.0
WEETH,Wrapped eETH,1,1,0,97.4,50.0,100.0,88.4,0.0
WBTC,Wrapped Bitcoin,1,1,0,97.4,50.0,50.0,78.4,0.0
WBETH,Wrapped Beacon ETH,1,0,0,73.7,50.0,100.0,74.2,0.0
BNB,BNB,1,0,0,73.7,50.0,100.0,74.2,0.0
TRX,TRON,1,0,0,73.7,50.0,100.0,74.2,0.0
WSTETH,Wrapped stETH,1,0,0,73.7,50.0,100.0,74.2,0.0
ADA,Cardano,1,0,0,73.7,50.0,100.0,74.2,0.0
BTC,Bitcoin,1,0,0,73.7,50.0,50.0,64.2,0.0
XRP,XRP,1,0,0,73.7,50.0,50.0,64.2,0.0
STETH,Lido Staked Ether,1,-1,0,50.0,50.0,100.0,60.0,0.0
SUI,Sui,1,0,0,73.7,50.0,0.0,54.2,0.0
XLM,Stellar,1,-1,0,50.0,50.0,0.0,40.0,0.0
